,lcbatch,sortday,MS_Run,celltype,id,channel,sub,Set,well,label,sample.x,sample.y,isoTime,diameter,elongation,slide,field,dropXPos,dropYPos,pickupXPos,pickupYPos,wellAlph,wellNum
1515,A,B,39,unused,i1515,Reporter.intensity.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1516,A,B,39,unused,i1516,Reporter.intensity.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1517,A,B,39,m,i1517,Reporter.intensity.5,C1,XwAL00238,K22,5,m,d0,10:43:27 AM,23.51,1.63,3,2,11,8,15,14,K,22
1518,A,B,39,m,i1518,Reporter.intensity.6,C1,XwAL00238,K22,6,m,d0,10:43:29 AM,25.22,1.5,3,2,15,8,15,14,K,22
1519,A,B,39,m,i1519,Reporter.intensity.7,NA,XwAL00238,K22,7,m,d0,10:43:31 AM,23.08,1.56,3,2,19,8,15,14,K,22
1520,A,B,39,m,i1520,Reporter.intensity.8,C1,XwAL00238,K22,8,m,d0,10:43:45 AM,24.37,1.75,3,2,9,12,15,14,K,22
1521,A,B,39,m,i1521,Reporter.intensity.9,C1,XwAL00238,K22,9,m,d0,10:43:47 AM,22.89,1.66,3,2,13,12,15,14,K,22
1522,A,B,39,m,i1522,Reporter.intensity.10,C1,XwAL00238,K22,10,m,d0,10:43:48 AM,23.9,1.68,3,2,17,12,15,14,K,22
1523,A,B,39,m,i1523,Reporter.intensity.11,NA,XwAL00238,K22,11,m,d0,10:43:50 AM,28.4,1.75,3,2,21,12,15,14,K,22
1524,A,B,39,u,i1524,Reporter.intensity.12,NA,XwAL00238,K22,12,u,d0,11:24:55 AM,20.64,1.6,3,2,9,16,15,14,K,22
1525,A,B,39,u,i1525,Reporter.intensity.13,NA,XwAL00238,K22,13,u,d0,11:24:57 AM,17.39,1.41,3,2,13,16,15,14,K,22
1526,A,B,39,u,i1526,Reporter.intensity.14,NA,XwAL00238,K22,14,u,d0,11:24:58 AM,20.48,1.46,3,2,17,16,15,14,K,22
1527,A,B,39,u,i1527,Reporter.intensity.15,NA,XwAL00238,K22,15,u,d0,11:24:59 AM,16.75,1.44,3,2,21,16,15,14,K,22
1528,A,B,39,u,i1528,Reporter.intensity.16,NA,XwAL00238,K22,16,u,d0,11:25:15 AM,20.36,1.68,3,2,11,20,15,14,K,22
1529,A,B,39,u,i1529,Reporter.intensity.17,NA,XwAL00238,K22,17,u,d0,11:25:18 AM,18.51,1.48,3,2,15,20,15,14,K,22
1530,A,B,39,neg,i1530,Reporter.intensity.18,NA,XwAL00238,K22,18,neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1531,A,B,41,carrier,i1531,Reporter.intensity.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1532,A,B,41,reference,i1532,Reporter.intensity.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1533,A,B,41,unused,i1533,Reporter.intensity.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1534,A,B,41,unused,i1534,Reporter.intensity.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1535,A,B,41,m,i1535,Reporter.intensity.5,C1,XwAL00240,K24,5,m,d0,10:43:42 AM,27.77,1.78,3,2,63,8,59,14,K,24
1536,A,B,41,m,i1536,Reporter.intensity.6,C1,XwAL00240,K24,6,m,d0,10:43:58 AM,24.79,1.88,3,2,53,12,59,14,K,24
1537,A,B,41,m,i1537,Reporter.intensity.7,NA,XwAL00240,K24,7,m,d0,10:44:00 AM,23.14,1.38,3,2,57,12,59,14,K,24
1538,A,B,41,m,i1538,Reporter.intensity.8,C1,XwAL00240,K24,8,m,d0,10:44:02 AM,29.51,1.78,3,2,61,12,59,14,K,24
1539,A,B,41,m,i1539,Reporter.intensity.9,C1,XwAL00240,K24,9,m,d0,10:44:03 AM,21.46,1.72,3,2,65,12,59,14,K,24
1540,A,B,41,u,i1540,Reporter.intensity.10,NA,XwAL00240,K24,10,u,d0,11:25:09 AM,19.68,1.68,3,2,53,16,59,14,K,24
1541,A,B,41,u,i1541,Reporter.intensity.11,NA,XwAL00240,K24,11,u,d0,11:25:11 AM,23.37,1.72,3,2,57,16,59,14,K,24
1542,A,B,41,u,i1542,Reporter.intensity.12,NA,XwAL00240,K24,12,u,d0,11:25:12 AM,20.3,1.52,3,2,61,16,59,14,K,24
1543,A,B,41,u,i1543,Reporter.intensity.13,NA,XwAL00240,K24,13,u,d0,11:25:14 AM,17.22,1.84,3,2,65,16,59,14,K,24
1544,A,B,41,u,i1544,Reporter.intensity.14,NA,XwAL00240,K24,14,u,d0,11:25:24 AM,18.62,1.56,3,2,55,20,59,14,K,24
1545,A,B,41,u,i1545,Reporter.intensity.15,NA,XwAL00240,K24,15,u,d0,11:25:26 AM,19.43,1.33,3,2,59,20,59,14,K,24
1546,A,B,41,neg,i1546,Reporter.intensity.16,NA,XwAL00240,K24,16,neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1547,A,B,41,m,i1547,Reporter.intensity.17,C2,XwAL00240,K24,17,m,d0,10:43:39 AM,24.31,1.89,3,2,55,8,59,14,K,24
1548,A,B,41,m,i1548,Reporter.intensity.18,C1,XwAL00240,K24,18,m,d0,10:43:41 AM,24.21,1.66,3,2,59,8,59,14,K,24
1549,A,B,42,carrier,i1549,Reporter.intensity.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1550,A,B,42,reference,i1550,Reporter.intensity.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1551,A,B,42,unused,i1551,Reporter.intensity.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1552,A,B,42,unused,i1552,Reporter.intensity.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1553,A,B,42,m,i1553,Reporter.intensity.5,C1,XwAL00241,L1,5,m,d0,10:44:24 AM,26.07,1.63,3,2,9,34,15,36,L,1
1554,A,B,42,m,i1554,Reporter.intensity.6,C1,XwAL00241,L1,6,m,d0,10:44:26 AM,26.91,1.79,3,2,13,34,15,36,L,1
1555,A,B,42,m,i1555,Reporter.intensity.7,C1,XwAL00241,L1,7,m,d0,10:44:29 AM,24.78,1.64,3,2,17,34,15,36,L,1
1556,A,B,42,m,i1556,Reporter.intensity.8,NA,XwAL00241,L1,8,m,d0,10:44:30 AM,22.66,1.68,3,2,21,34,15,36,L,1
1557,A,B,42,u,i1557,Reporter.intensity.9,NA,XwAL00241,L1,9,u,d0,11:25:30 AM,21.11,1.33,3,2,9,38,15,36,L,1
1558,A,B,42,u,i1558,Reporter.intensity.10,NA,XwAL00241,L1,10,u,d0,11:25:31 AM,16.92,1.51,3,2,13,38,15,36,L,1
1559,A,B,42,u,i1559,Reporter.intensity.11,NA,XwAL00241,L1,11,u,d0,11:25:33 AM,18.7,1.6,3,2,17,38,15,36,L,1
1560,A,B,42,u,i1560,Reporter.intensity.12,NA,XwAL00241,L1,12,u,d0,11:25:35 AM,21.04,1.35,3,2,21,38,15,36,L,1
1561,A,B,42,u,i1561,Reporter.intensity.13,NA,XwAL00241,L1,13,u,d0,11:25:55 AM,17.91,1.64,3,2,11,42,15,36,L,1
1562,A,B,42,u,i1562,Reporter.intensity.14,NA,XwAL00241,L1,14,u,d0,11:25:56 AM,22.42,1.65,3,2,15,42,15,36,L,1
1563,A,B,42,neg,i1563,Reporter.intensity.15,NA,XwAL00241,L1,15,neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1564,A,B,42,m,i1564,Reporter.intensity.16,C1,XwAL00241,L1,16,m,d0,10:44:05 AM,27.17,1.49,3,2,11,30,15,36,L,1
1565,A,B,42,m,i1565,Reporter.intensity.17,C1,XwAL00241,L1,17,m,d0,10:44:06 AM,27.02,1.58,3,2,15,30,15,36,L,1
1566,A,B,42,m,i1566,Reporter.intensity.18,C1,XwAL00241,L1,18,m,d0,10:44:08 AM,24.94,1.57,3,2,19,30,15,36,L,1
1567,A,B,43,carrier,i1567,Reporter.intensity.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1568,A,B,43,reference,i1568,Reporter.intensity.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,A,B,43,unused,i1569,Reporter.intensity.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570,A,B,43,unused,i1570,Reporter.intensity.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1571,A,B,43,m,i1571,Reporter.intensity.5,C1,XwAL00242,L2,5,m,d0,10:44:34 AM,25.32,1.59,3,2,35,34,37,36,L,2
1572,A,B,43,m,i1572,Reporter.intensity.6,C1,XwAL00242,L2,6,m,d0,10:44:35 AM,21.58,1.35,3,2,39,34,37,36,L,2
